Part,Unit Cost,# of units needed,Total Cost,Notes,Link
Switches,$15.00,2,$30.00,Site needs to be approved,Gateron G Pro 3.0 Switch Set
Keycaps,$8.39,1,$8.39,,126 Keys Double Shot PBT Cherry Keycaps Mechanical Game Keyboard Wireless for MX Switch Keycap GMK67 GMK87 GMK61 Keyboard Keycap - AliExpress 7
MCU,N/A,1,N/A,Orpheus Pico,Orpheus Pico
Gasket Mount,$3.19,1,$3.19,,"aliexpress.com/item/1005005171752968.html?spm=a2g0o.productlist.main.11.59c8qo04qo04nT&algo_pvid=870c72cd-cba3-4ddc-83a9-10e27e5d0aaf&algo_exp_id=870c72cd-cba3-4ddc-83a9-10e27e5d0aaf-5&pdp_ext_f=%7B""order""%3A""36""%2C""eval""%3A""1""%7D&pdp_npi=4%40dis%21USD%213.19%212.07%21%21%213.19%212.07%21%402101ea8c17431344785088420e5f9a%2112000031965048601%21sea%21CA%210%21ABX&curPageLogUid=O0HPVH6FImHs&utparam-url=scene%3Asearch%7Cquery_from%3A"
Stabilizers ,$14.96,1,$14.96,"Canadian price, thus multiplied by 0.75 for conversion",DUROCK V3 PCB MOUNTED STABILIZERS – beaverkeys
Neopixel (Reverse Mounted),$2.95,9,$26.55,,4960 Adafruit Industries LLC | Optoelectronics | DigiKey
Diodes,$0.39,9,$3.51,,1N4148 onsemi | Discrete Semiconductor Products | DigiKey
Hotswap Sockets,$19.98,1,$19.98,the type 1 socket,110pcs/90pcs Kailh Hot-swappable PCB Socket CPG151101S11 For Outemu Cherry MX Switches Mechanical Keyboard Axis DIY Connector - AliExpress 7
Fastener ,,,$0.00,,
Heatset Inserts,,,$0.00,,
Case,N/A,1,N/A,3D printed,N/A
Plate,N/A,1,N/A,acrylic cut,N/A
,,,,,
,,,,,
Sum,,,$106.58,,
Shipping,,,$15.99,Assuming 15% for shipping,
Tax,,,$15.93,HST of 13%,
Total,,,$138.50,USD,
